53,/sports/m-footbl/mtt/fred_hansard_1051048.html,Fred Hansard,DT,3,SO/FR,75,6-3/315,Burlington, N.J./The Hun School,
37,/sports/m-footbl/mtt/drew_hartlaub_1051008.html,Drew Hartlaub,S,3,SO/FR,71,5-11/177,Hanover, Pa./South Western,
12,/sports/m-footbl/mtt/mac_hippenhammer_1051002.html,Mac Hippenhammer,WR,3,SO/FR,71,5-11/170,Fort Wayne, Ind./R. Nelson Snider,
83,/sports/m-footbl/mtt/alex_hoenstine_1051052.html,Alex Hoenstine,WR,3,SO/FR,73,6-1/181,East Freedom, Pa./Central,
18,/sports/m-footbl/mtt/jonathan_holland_975812.html,Jonathan Holland,TE/H,7,SR/JR,76,6-4/247,Brandywine, Md./The Bullis School,
75,/sports/m-footbl/mtt/des_holmes_1051003.html,Des Holmes,OL,3,SO/FR,77,6-5/306,Norristown, Pa./Cardinal O'Hara,
2,/sports/m-footbl/mtt/isaiah_humphries_1066799.html,Isaiah Humphries,S,1,FR/FR,72,6-0/191,Rowlett, Texas/Sachse,
76,/sports/m-footbl/mtt/sterling_jenkins_944874.html,Sterling Jenkins,OL,7,SR/JR,80,6-8/343,Pittsburgh, Pa./Baldwin,
3,/sports/m-footbl/mtt/donovan_johnson_1051049.html,Donovan Johnson,CB,3,SO/FR,69,5-9/185,Detroit, Mich./Cass Tech,
36,/sports/m-footbl/mtt/jan_johnson_980754.html,Jan Johnson,LB,7,SR/JR,74,6-2/236,Mohnton, Pa./Governor Mifflin,
84,/sports/m-footbl/mtt/juwan_johnson_975814.html,Juwan Johnson,WR,7,SR/JR,76,6-4/229,Glassboro, N.J./Glassboro,
42,/sports/m-footbl/mtt/ellison_jordan_1019733.html,Ellison Jordan,DT,5,JR/SO,72,6-0/295,Upper Marlboro, Md./Gilman School,
49,/sports/m-footbl/mtt/daniel_joseph_1019734.html,Daniel Joseph,DE,5,JR/SO,75,6-3/248,Brampton, Ontario, Canada/Lake Forest Academy (Ill.)
68,/sports/m-footbl/mtt/hunter_kelly_1023918.html,Hunter Kelly,OL,5,JR/SO,74,6-2/299,Langhorne, Pa./Neshaminy,
82,/sports/m-footbl/mtt/zack_kuntz_1066800.html,Zack Kuntz,TE/H,1,FR/FR,79,6-7/232,Camp Hill, Pa./Camp Hill,
97,/sports/m-footbl/mtt/carson_landis_1051053.html,Carson Landis,K/P,3,SO/FR,74,6-2/196,Macungie, Pa./Emmaus,
40,/sports/m-footbl/mtt/jesse_luketa_1066823.html,Jesse Luketa,LB,1,FR/FR,75,6-3/239,Ottawa, Ontario/Mercyhurst Prep (Pa.),
85,/sports/m-footbl/mtt/isaac_lutz_1019753.html,Isaac Lutz,WR,5,JR/SO,71,5-11/185,Reading, Pa./Berks Catholic,
72,/sports/m-footbl/mtt/robbie_martin_1051050.html,Robbie Martin,OL,3,SO/FR,76,6-4/273,Sparta, N.J./Saint Joseph Regional,
89,/sports/m-footbl/mtt/colton_maxwell_1031250.html,Colton Maxwell,WR,5,JR/SO,72,6-0/189,Northampton, Pa./Northampton,
66,/sports/m-footbl/mtt/connor_mcgovern_1000591.html,Connor McGovern,OL,5,JR/JR,77,6-5/320,Larksville, Pa./Lake-Lehman,
14,/sports/m-footbl/mtt/zech_mcphearson_1019790.html,Zech McPhearson,CB,5,JR/SO,71,5-11/182,Columbia, Md./Riverdale Baptist School,
9,/sports/m-footbl/mtt/trace_mcsorley_905746.html,Trace McSorley,QB,7,SR/SR,72,6-0/198,Ashburn, Va./Briar Woods,
62,/sports/m-footbl/mtt/michal_menet_1019778.html,Michal Menet,OL,5,JR/SO,76,6-4/301,Birdsboro, Pa./Exeter Township Senior,
9,/sports/m-footbl/mtt/jarvis_miller_975804.html,Jarvis Miller,LB,7,SR/JR,74,6-2/215,Suffield, Conn./Windsor Locks/Suffield/East Granby,
48,/sports/m-footbl/mtt/shareef_miller_975815.html,Shareef Miller,DE,7,SR/JR,77,6-5/256,Philadelphia, Pa./George Washington,
73,/sports/m-footbl/mtt/mike_miranda_1035880.html,Mike Miranda,OL,3,SO/FR,75,6-3/302,Stow, Ohio/Stow-Munroe,
23,/sports/m-footbl/mtt/ayron_monroe_975805.html,Ayron Monroe,S,7,SR/JR,71,5-11/202,Largo, Md./Saint Johns College H.S.,
35,/sports/m-footbl/mtt/justin_neff_1053748.html,Justin Neff,S,3,SO/FR,73,6-1/194,Mill Hall, Pa./Central Mountain,
21,/sports/m-footbl/mtt/amani_oruwariye_905725.html,Amani Oruwariye,CB,9,GS/SR,73,6-1/204,Tampa, Fla./Gaither,
